Flat Bench Press,Chest/Triceps/Shoulders,Intermediate,2,Dumbbells+Bench,3
Flat DB Press,Chest/Triceps/Shoulders,Beginner,2,Barbell+Weight Plates+Bench,3
Wide Grip Bench,Chest/Triceps/Shoulders,Intermediate,2,Barbell+Weight Plates+Bench,3
Close Grip Bench,Chest/Triceps,Intermediate,2,Barbell+Weight Plates+Bench,3
Incline Bench Press,Chest/Triceps/Shoulders,Intermediate,2,Barbell+Weight Plates+Bench,2
DB Incline Press,Chest/Triceps/Shoulders,Beginner,2,Dumbbells+Bench,2
Decline Bench Press,Chest/Triceps/Shoulders,Intermediate,2,Barbell+Weight Plates+Bench,3
DB Decline Press,Chest/Triceps/Shoulders,Beginner,2,Dumbbells+Bench,3
Machine Chest Press,Chest/Triceps/Shoulders,Beginner,3,Gym,3
Alternating Press,Chest/Triceps/Shoulders,Intermediate,2,Dumbbells+Bench,2
Push Ups,Chest/Triceps/Shoulders,Beginner,1,Home,1
Explosive Push Ups,Chest/Triceps/Shoulders,Intermediate,1,Home,3
Clap Push Ups,Chest/Triceps/Shoulders,Intermediate,1,Home,3
Archer Push Ups,Chest/Triceps/Shoulders,Advanced,1,Home,3
Pike Push Ups,Triceps/Shoulders,Intermediate,1,Home,2
Diamond Push Ups,Triceps/Chest,Beginner,1,Home,2
Hindu Push Ups,Abdominals/Shoulders/Triceps,Beginner,1,Home,2
Sphinx Push Ups,Triceps,Intermediate,1,Home,2
One Arm Push Ups,Chest/Triceps/Shoulders,Advanced,1,Home,3
Incline Push Ups,Chest/Triceps/Shoulders,Beginner,1,Home,1
Decline Push Ups,Chest/Triceps/Shoulders,Intermediate,1,Home,3
Handstand Push Ups,Chest/Triceps/Shoulders,Advanced,1,Home,3
Ring Dips,Chest/Triceps/Shoulders,Advanced,2,Dip Station+Rings,3
Dips,Chest/Triceps/Shoulders,Intermediate,2,Dip Station,3
Tricep Dips,Triceps,Intermediate,2,Dip Station,2
Bench Dips,Triceps,Beginner,2,Bench,2
